format,primaryGenre,primaryStyle,secondaryGenres,secondaryStyles,catalogNumber,artists,title,year
LP,Rock,Pop Rock,,"Symphonic Rock, Art Rock, Prog Rock",6370 243,The Alan Parsons Project,Tales Of Mystery And Imagination,
LP,Jazz,Soft Rock,Rock,"Jazz-Rock, Fusion",ABCL 5225,Steely Dan,Aja,1977
LP,Jazz,Fusion,Rock,"Jazz-Funk, Pop Rock",ABCL 5161,Steely Dan,The Royal Scam,1976
LP,Hip Hop,Gangsta,,G-Funk,0606949048617,Dr. Dre,2001,2009
LP,Hip Hop,Horrorcore,,Hardcore Hip-Hop,INT2-90287,Eminem,The Slim Shady LP,2014
LP,Hip Hop,Hardcore Hip-Hop,,Horrorcore,606949062910,Eminem,The Marshall Mathers LP,2013
LP,Reggae,Reggae,,Rocksteady,ALA 1982,Bob Marley & The Wailers,Shakedown,1979
LP,Rock,Alternative Rock,Stage & Screen,Krautrock,AGCRLP1704,Spektr (3),Excelsior,2017
LP,Latin,Afro-Cuban,"Funk / Soul, Folk, World, & Country","African, Funaná",AALP 080,Various,Space Echo - The Mystery Behind The Cosmic Sound Of Cabo Verde Finally Revealed,2016
LP,Electronic,Disco,"Reggae, Funk / Soul","Soca, Bayou Funk, Boogie, Calypso",AALP082,Shadow (11),Sweet Sweet Dreams,2016
LP,Jazz,Leftfield,"Rock, Funk / Soul","Funk, Experimental, Disco","204 979-320, 204 979",James White & The Blacks,Sax Maniac,1982
LP,Rock,Art Rock,,"Pop Rock, Prog Rock",1C 064-60 792,The Alan Parsons Project,Pyramid,1978
LP,Jazz,Fusion,,,ATL 50 456,Passport (2),Ataraxia,1978
LP,Rock,Folk Rock,"Funk / Soul, Pop, Folk, World, & Country, Stage & Screen","Rock & Roll, Pop Punk, Classic Rock, Acid Rock, Soundtrack, Psychedelic Rock",ATL 60 001,Various,Woodstock - Music From The Original Soundtrack And More,
LP,Jazz,Jazz-Funk,,"Jazz-Rock, Soul-Jazz",K 40038,Herbie Mann,Memphis Underground,1972
LP,Jazz,Jazz-Funk,Funk / Soul,Disco,SD 19252,Herbie Mann,Yellow Fever,1979
LP,Rock,Alternative Rock,,,ATO0301,King Gizzard And The Lizard Wizard,Nonagon Infinity ,2016
,Hip Hop,,,,,,Violent By Design,2003
LP,Electronic,Pop Rock,"Jazz, Rock, Funk / Soul, Blues, Pop, Classical, Stage & Screen","Ballad, Disco, Easy Listening, Theme, Smooth Jazz, Soul-Jazz, Soundtrack",0902.026,Raymond Lefèvre,Verführung In Musik,
LP,Reggae,Reggae,Funk / Soul,Rhythm & Blues,BI 15244,Bob Marley & The Wailers,Bob Marley & The Wailers,1978
LP,Rock,Classic Rock,,,BLPS 19001,Creedence Clearwater Revival,Creedence Clearwater Revival,
"7""",Rock,Classic Rock,,,BF 18024,Creedence Clearwater Revival,Have You Ever Seen The Rain / Hey Tonight,1971
,Hip Hop,,,,,,Take Me To Your Leader,2021
,Hip Hop,,,,,,The Plugs I Met 2,2021
"12""",Rock,Psychedelic Rock,,"Space Rock, Prog Rock",BFR-003-LP,Elder (2),The Gold & Silver Sessions,2019
,Hip Hop,,,,,,Elephants On Acid,2018
LP,Rock,Alternative Rock,,Psychedelic Rock,538504181,Dope Lemon,Smooth Big Cat,2019
LP,Electronic,Disco,,"Experimental, Electro",BB143LP,Sauveur Mallia,Space Oddities 1979-1984,2021
LP,Electronic,Krautrock,Rock,"Experimental, Psychedelic Rock",0060.197,Eroc,Eroc 3,1979
LP,Electronic,Experimental,,"Ambient, Berlin-School",0060.353,Klaus Schulze,Dig It,1980
LP,Electronic,Folk Rock,Rock,"Krautrock, Prog Rock, Ambient",0060.484,Eroc,Eroc 4,1982
LP,Electronic,Krautrock,Rock,"Prog Rock, Experimental, Ambient",60.007,Eroc,Zwei,1976
LP,Rock,Krautrock,,Prog Rock,BRAIN 1070,Novalis (3),Novalis,1976
LP,Electronic,Krautrock,Rock,"Experimental, Prog Rock, Ambient",1069,Eroc,Eroc,1975
LP,Rock,Krautrock,,Prog Rock,60.041,Grobschnitt,Rockpommel's Land,1977
LP,Electronic,Ambient,,,0001 075,Klaus Schulze,Timewind,1977
LP,Electronic,Krautrock,Rock,Experimental,brain 1004,Neu!,Neu!,1972
LP,Rock,Krautrock,,Prog Rock,22S-23,Grobschnitt,Grobschnitt,1981
LP,Rock,Krautrock,,Prog Rock,brain 2/1050,Grobschnitt,Ballermann,1974
LP,Rock,Krautrock,,Prog Rock,1008,Grobschnitt,Grobschnitt,1975
LP,Electronic,Krautrock,Rock,Experimental,BB116,Camera (10),Radiate!,2012
LP,Electronic,Krautrock,Rock,Experimental,BB351,Camera (10),Prosthuman,2021
LP,Hip Hop,Conscious,,,BHR 9037-1,Looptroop (2),Fort Europa,2005
LP,Rock,Stoner Rock,,,ARBW005LP,Sons Of Otis,Spacejumbofudge,2012
LP,Rock,Alternative Rock,,,BFM001,Various,Outnumbered By Sheep,1986
Compilation,Rock,Psychedelic Rock,,,SABB-11257,Pink Floyd,A Nice Pair,1973
LP,Rock,Blues Rock,,Psychedelic Rock,SKAO 6328,Edward Bear,Bearings,1969
LP,Rock,Psychedelic Rock,,,ST-266,The Common People,Of The People / By The People / For The People From The Common People,2003
LP,Jazz,Fusion,,,CBS 81325,Weather Report,Black Market,1976
LP,Rock,Hard Rock,Latin,Psychedelic Rock,S 64087,Santana,Abraxas,
LP,Electronic,Ambient,,,CBS 85545,Andreas Vollenweider,...Behind The Gardens - Behind The Wall - Under The Tree...,1981
LP,Jazz,Afro-Cuban,"Rock, Latin, Funk / Soul","Guaguancó, Latin Jazz, Guajira",S 69015,Santana,3,1978
LP,Electronic,Krautrock,Rock,Ambient,CEL 004,Popol Vuh,Hosianna Mantra,1981
LP,Latin,Salsa,"Folk, World, & Country","Son, Afro-Cuban, African",006646,Le Sahel,La Légende de Dakar,2015
LP,Electronic,Krautrock,Rock,,CEL 6610,Can,Soon Over Babaluma,1981
LP,Electronic,Downtempo,Rock,"Psychedelic Rock, Ambient",6369 945,Bo Hansson,Magician's Hat,1973
LP,Rock,Prog Rock,,,CAS 1059,Bo Hansson,Music Inspired By Lord Of The Rings,1974
LP,Jazz,Psychedelic Rock,Rock,Prog Rock,CAS 1113,Bo Hansson,Attic Thoughts,1976
,Hip Hop,,,,,,The Score (Sampler),1995
LP,Hip Hop,Conscious,,Boom Bap,475959 1,Nas,Illmatic,1994
LP,Rock,Psychedelic Rock,,Prog Rock,1C 064-28 886,Sweet Smoke,Just A Poke,1977
LP,Rock,Blues Rock,Blues,"Hard Rock, Psychedelic Rock",1C 052-90 690,Steppenwolf,Steppenwolf,1969
